,Char,Genre,Title,line_count,gender
371,(CONTINUED),Action,arcticblue,90,
372,CORBETT,Action,arcticblue,688,
374,CROUPIER,Action,walkingtall,23,
375,JIMMY,Action,walkingtall,21,
376,CONNIE,Action,walkingtall,26,
377,SHERIFF WATKINS,Action,walkingtall,99,
379,PETE,Action,walkingtall,29,
380,DENI,Action,walkingtall,52,
383,MICHELLE,Action,walkingtall,46,
384,JAY,Action,walkingtall,123,
385,CHRIS,Action,walkingtall,394,
386,RAY,Action,walkingtall,141,
387,WHITE H #2,Action,gijane,23,
388,CNN COMMENTATOR (TV),Action,gijane,22,
389,ENGLAND,Action,gijane,26,
390,STOKELY,Musical,honeydripper,33,
392,ANNOUNCER,Comedy,apartmentthe,25,
393,BLONDE,Comedy,apartmentthe,24,
394,VANDERHOF,Comedy,apartmentthe,40,
395,MARGIE,Comedy,apartmentthe,113,
396,MRS. DREYFUSS,Comedy,apartmentthe,70,
397,SYLVIA,Comedy,apartmentthe,89,
398,MISS N,Comedy,apartmentthe,78,
399,MRS. LIEBERMAN,Comedy,apartmentthe,40,
400,MATUSCHKA,Comedy,apartmentthe,70,
401,KIRKEBY,Comedy,apartmentthe,218,
402,DOBISCH,Comedy,apartmentthe,152,
403,DR. DREYFUSS,Comedy,apartmentthe,239,
404,SHELDRAKE,Comedy,apartmentthe,633,
405,BUD,Comedy,apartmentthe,1753,
406,FRAN,Comedy,apartmentthe,827,
407,MANAGER,Comedy,replacementsthe,21,
408,CLIFFORD,Comedy,replacementsthe,68,
409,WILSON,Comedy,replacementsthe,39,
410,WALTER,Comedy,replacementsthe,27,
411,BANES,Comedy,replacementsthe,43,
412,JUDGE,Comedy,replacementsthe,27,
413,PILACHI,Comedy,replacementsthe,72,
414,SUMMERALL,Comedy,replacementsthe,186,
415,MADDEN,Comedy,replacementsthe,211,
416,(TO CAMERA),Comedy,replacementsthe,29,
417,AUGUSTINE,Comedy,replacementsthe,40,
418,O'NEIL,Comedy,replacementsthe,297,
419,MARTEL,Comedy,replacementsthe,82,
420,LINDELL,Comedy,replacementsthe,72,
421,REPORTER,Comedy,replacementsthe,54,
422,ON SCOREBOARD,Comedy,replacementsthe,41,
423,DIRECTOR,Comedy,replacementsthe,25,
424,ROLAND,Comedy,replacementsthe,54,
425,WILKINSON,Comedy,replacementsthe,25,
426,ANDRE,Comedy,replacementsthe,45,
427,JAMAL,Comedy,replacementsthe,59,
428,ANNABELLE,Comedy,replacementsthe,260,
429,COCHRAN,Comedy,replacementsthe,68,
430,BOOMER,Comedy,replacementsthe,63,
431,DAN,Comedy,replacementsthe,63,
432,AL,Comedy,replacementsthe,180,
434,PACIFICO,Comedy,replacementsthe,29,
435,LEE,Comedy,replacementsthe,70,
436,EVANS,Comedy,replacementsthe,72,
437,SHANE,Comedy,replacementsthe,845,
438,RON,Comedy,fasttimesatridgemonthigh,35,
439,ARNOLD,Comedy,fasttimesatridgemonthigh,24,
440,DENNIS,Comedy,fasttimesatridgemonthigh,28,
442,GRIFFIN,Comedy,fasttimesatridgemonthigh,25,
443,SPANKY,Comedy,life,51,
444,MAMA GIBSON,Comedy,life,43,
445,DAISY,Comedy,life,31,
446,ACCOUNTANT,Comedy,thisis40,32,
447,CAT,Comedy,thisis40,23,
448,DR. PELLIGRINO,Comedy,thisis40,53,
449,GRAHAM,Comedy,thisis40,53,
450,JODI,Comedy,thisis40,56,
451,CATHERINE,Comedy,thisis40,83,
452,(MORE),Comedy,thisis40,28,
454,RONNIE,Comedy,thisis40,111,
456,JOSEPH,Comedy,thisis40,33,
457,BARB,Comedy,thisis40,38,
458,DESI,Comedy,thisis40,174,
459,MAN IN RANGE ROVER,Comedy,thisis40,26,
460,LARRY,Comedy,thisis40,339,
461,SADIE,Comedy,thisis40,240,
