ARGYLE,Action,diehard,122
TIN-TIN,Action,crowthe,33
GIDEON,Action,crowthe,58
ANNABELLA,Action,crowthe,26
FUNBOY,Action,crowthe,58
T-BIRD,Action,crowthe,68
MICKEY,Action,crowthe,26
SKANK,Action,crowthe,36
TOP DOLLAR,Action,crowthe,71
FLASH ENDS.,Action,crowthe,21
SKULL COWBOY,Action,crowthe,55
GRANGE,Action,crowthe,75
ALBRECHT,Action,crowthe,214
LAO,Action,crowthe,157
ERIC,Action,crowthe,426
DARLA,Action,crowthe,37
ELLY,Action,crowthe,129
WIN,Action,someonetowatchoverme,67
BROOKLYN,Action,someonetowatchoverme,25
T.J.,Action,someonetowatchoverme,56
SCOTTY,Action,someonetowatchoverme,34
NEIL,Action,someonetowatchoverme,108
VENZA,Action,someonetowatchoverme,67
TOMMY,Action,someonetowatchoverme,75
KOONTZ,Action,someonetowatchoverme,92
CLAIRE,Action,someonetowatchoverme,424
GARBER,Action,someonetowatchoverme,151
ELLIE,Action,someonetowatchoverme,301
MIKE,Action,someonetowatchoverme,858
HAWKINS,Action,predator,31
BLAIN,Action,predator,45
BILLY,Action,predator,68
RAMIREZ,Action,predator,102
MAC,Action,predator,194
DILLON,Action,predator,349
SCHAEFER,Action,predator,378
HUNTER,Action,predator,39
ANNA,Action,predator,45
(CONTINUED),Action,predator,404
PHILIPS,Action,predator,75
DR. LING,Action,rockthe,21
ISHERWOOD,Action,rockthe,31
JADE,Action,rockthe,28
COMMANDER ANDERSON,Action,rockthe,108
GENERAL PETERSON,Action,rockthe,24
GENERAL KRAMER,Action,rockthe,62
HAYDEN SINCLAIR,Action,rockthe,28
BAXTER,Action,rockthe,23
HUMMEL,Action,rockthe,271
CAPTAIN DARROW,Action,rockthe,43
CAPTAIN FRYE,Action,rockthe,47
MASON,Action,rockthe,333
SANCHEZ,Action,rockthe,96
F.B.I. DIRECTOR WOMACK,Action,rockthe,155
PRESIDENT,Action,rockthe,27
CARLA,Action,rockthe,57
GOEED,Action,rockthe,433
MILLER,Action,lastboyscoutthe,31
CRAG-FACE,Action,lastboyscoutthe,25
CORY,Action,lastboyscoutthe,47
TALL MAN,Action,lastboyscoutthe,50
CHET,Action,lastboyscoutthe,39
MALE,Action,lastboyscoutthe,59
PABLO,Action,lastboyscoutthe,80
BAYNARD,Action,lastboyscoutthe,33
MARCON,Action,lastboyscoutthe,218
DARIAN,Action,lastboyscoutthe,122
MILO,Action,lastboyscoutthe,235
SARAH,Action,lastboyscoutthe,123
BESSALO,Action,lastboyscoutthe,108
(CONTINUED),Action,lastboyscoutthe,265
JIMMY,Action,lastboyscoutthe,889
HALLENBECK,Action,lastboyscoutthe,1368
HOWARD,Action,breakdown,24
BARTENDER,Action,breakdown,48
CALHOUN,Action,breakdown,40
EARL,Action,breakdown,140
SHERIFF BOYD,Action,breakdown,155
DEPUTY CARVER,Action,breakdown,26
AL,Action,breakdown,29
DEKE,Action,breakdown,36
BILLY,Action,breakdown,77
RED,Action,breakdown,381
(CONTINUED),Action,breakdown,158
FBI AGENT,Action,breakdown,33
JEFF,Action,breakdown,727
AMY,Action,breakdown,217
MACGOWAN,Action,indianajonesiv,62
DEAN COVENTRY,Action,indianajonesiv,23
MARCUS,Action,indianajonesiv,96
GUTTERBUHG,Action,indianajonesiv,65
MEPHISTO,Action,indianajonesiv,35
KEZURE,Action,indianajonesiv,103
SCRAGGY,Action,indianajonesiv,189
CLARE,Action,indianajonesiv,234
INDIANA,Action,indianajonesiv,821
BETSY,Action,indianajonesiv,248
SUN WU KUNG,Action,indianajonesiv,41
ROBINSON,Action,patriotthe,33
SPEAKER,Action,patriotthe,27
THOMAS,Action,patriotthe,25
BILLINGS,Action,patriotthe,65
NATHAN,Action,patriotthe,24
MARGARET,Action,patriotthe,42
ANNE,Action,patriotthe,37
GABRIEL,Action,patriotthe,294
REV. OLIVER,Action,patriotthe,36
WASHINGTON,Action,patriotthe,54
MAJOR HALBERT,Action,patriotthe,21
TARLETON,Action,patriotthe,100
CORNWALLIS,Action,patriotthe,230
DALTON,Action,patriotthe,24
LEE,Action,patriotthe,224
CHARLOTTE,Action,patriotthe,65
SUSAN,Action,patriotthe,33
MARION,Action,patriotthe,965
CHIEF SURGEON,Action,spiderman,31
THORKEL,Action,spiderman,123
REISS,Action,spiderman,82
CABBIE,Action,spiderman,28
BEN,Action,spiderman,49
WEINER,Action,spiderman,120
AUNT MAY,Action,spiderman,77
KIM,Action,spiderman,42
FLASH,Action,spiderman,108
HARRY,Action,spiderman,149
JAMESON,Action,spiderman,98
ROZ,Action,spiderman,149
OCK,Action,spiderman,530
SPIDER-MAN,Action,spiderman,324
LIZ,Action,spiderman,338
PETER,Action,spiderman,479
SOMETHING HORRIFIC,Action,losersthe,21
FENNEL,Action,losersthe,89
