char,genre,title,line_count,pkey
NICK/CARLOTTA,Comedy,youthinrevolt,28,nick/carlotta-youthinrevolt
GEEHAN,Drama,manhunter,36,geehan-manhunter
YOUNG MAN (cont'd),Romance,meetjoeblack,30,young_man_(cont'd)-meetjoeblack
HEIDI,Fantasy,butterflyeffectthe,35,heidi-butterflyeffectthe
TEACHER,Romance,cinemaparadiso,21,teacher-cinemaparadiso
BERNIE,Comedy,nottinghill,79,bernie-nottinghill
MOTHER,Drama,barrylyndon,90,mother-barrylyndon
GALOVITCH,Drama,fromheretoeternity,43,galovitch-fromheretoeternity
JACK,Crime,laconfidential,347,jack-laconfidential
ATC,Drama,flight,66,atc-flight
STILGAR,Adventure,dune,139,stilgar-dune
JOBAL,Adventure,starwarsattackoftheclones,22,jobal-starwarsattackoftheclones
ATHENA,Crime,lonestar,84,athena-lonestar
HOLLOWAY,Adventure,prometheus,359,holloway-prometheus
OFFICIAL,Crime,jfk,23,official-jfk
JIM,Crime,jfk,2936,jim-jfk
KATE,Drama,tombstone,35,kate-tombstone
AJAY,Sci-Fi,jurassicparkthelostworld,35,ajay-jurassicparkthelostworld
DOT,Drama,icestormthe,24,dot-icestormthe
ARCEE,Animation,transformersthemovie,54,arcee-transformersthemovie
POLICE OFFICER,Thriller,babel,97,police_officer-babel
GOATEE KID,Comedy,wonderboys,23,goatee_kid-wonderboys
DISSOLVE TO:,Action,abovethelaw,32,dissolve_to:-abovethelaw
DIANE,Drama,rememberme,150,diane-rememberme
SARUMAN,Adventure,lordoftheringsfellowshipoftheringthe,119,saruman-lordoftheringsfellowshipoftheringthe
JENNIFER,Mystery,grudgethe,62,jennifer-grudgethe
CAPTAIN,Romance,soimarriedanaxemurderer,70,captain-soimarriedanaxemurderer
HEDRA,Thriller,singlewhitefemale,603,hedra-singlewhitefemale
JONAH,Drama,sleeplessinseattle,442,jonah-sleeplessinseattle
GERROLD,Comedy,ghostworld,27,gerrold-ghostworld
GIMLI,Fantasy,lordoftheringsreturnoftheking,58,gimli-lordoftheringsreturnoftheking
CAZ,Crime,takingofpelhamonetwothreethe,34,caz-takingofpelhamonetwothreethe
DANA,Fantasy,liarliar,67,dana-liarliar
BROTHER BUYL,Adventure,1492conquestofparadise,28,brother_buyl-1492conquestofparadise
BENNY,Family,sandlotkidsthe,324,benny-sandlotkidsthe
DARRELL CARTRIP,Animation,cars2,54,darrell_cartrip-cars2
INTERVIEWER,Comedy,trumanshowthe,67,interviewer-trumanshowthe
JESSE,Crime,looper,28,jesse-looper
ALICE (CON'T),Drama,losthighway,50,alice_(con't)-losthighway
ALANSO,Horror,insidious,32,alanso-insidious
JACKSON,Action,abovethelaw,213,jackson-abovethelaw
JACOB,Thriller,jacobsladder,1258,jacob-jacobsladder
VOICE,Fantasy,fifthelementthe,72,voice-fifthelementthe
ANNINA NOSEI,Drama,basquiat,74,annina_nosei-basquiat
MOM,Drama,highfidelity,35,mom-highfidelity
FRANCESCO,Adventure,cars2,109,francesco-cars2
T-BIRD,Fantasy,crowthe,68,t-bird-crowthe
JENNA,Sci-Fi,pi,29,jenna-pi
BURNS,Drama,hisgirlfriday,1578,burns-hisgirlfriday
HEATHER,Drama,clerks,68,heather-clerks
VOICE,Romance,intolerablecruelty,45,voice-intolerablecruelty
EAMES,Adventure,inception,272,eames-inception
THE MAN,Adventure,bourneidentitythe,51,the_man-bourneidentitythe
NEWSCASTER,Thriller,feast,29,newscaster-feast
BOY,Drama,elephantmanthe,43,boy-elephantmanthe
HOLLY,Action,diehard,183,holly-diehard
DOROTA,Biography,pianistthe,98,dorota-pianistthe
STRACK,Thriller,darkman,129,strack-darkman
MRS. DEEGAN (cont'd),Drama,almostfamous,26,mrs._deegan_(cont'd)-almostfamous
WOMAN,Comedy,custody,32,woman-custody
SHEP,Thriller,fargo,33,shep-fargo
MARROW (cont'd),Mystery,hauntingthe,104,marrow_(cont'd)-hauntingthe
FLYNN,Action,tronlegacy,404,flynn-tronlegacy
TRAXLER,Romance,terminator,84,traxler-terminator
BORAS V/O,Drama,moneyball,31,boras_v/o-moneyball
IKE,Romance,runawaybride,781,ike-runawaybride
BARRY,Comedy,thisis40,62,barry-thisis40
SOLOMON,Drama,magnolia,58,solomon-magnolia
TEEMO,Adventure,willow,67,teemo-willow
DOUGLAS,Comedy,cradle2thegrave,31,douglas-cradle2thegrave
VICTOR TELLEGIO,Crime,americanhustle,79,victor_tellegio-americanhustle
GIRL ON PHONE,Thriller,scream2,40,girl_on_phone-scream2
HILDY,Drama,hisgirlfriday,1610,hildy-hisgirlfriday
OWENS,Horror,pitchblack,78,owens-pitchblack
A AS THOMAS,Comedy,shakespeareinlove,85,a_as_thomas-shakespeareinlove
YORITOMO,Adventure,lastsamuraithe,38,yoritomo-lastsamuraithe
HEAD,Adventure,startreknemesis,31,head-startreknemesis
